Entity,Code,Year,Corruption Perception Index - Transparency International (2018),Continent
Philippines,PHL,2018,36,Asia
Poland,POL,2018,60,Europe
Portugal,PRT,2018,64,Europe
Qatar,QAT,2018,62,Asia
Romania,ROU,2018,47,Europe
Russia,RUS,2018,28,Europe
Rwanda,RWA,2018,56,Africa
Saint Lucia,LCA,2018,55,North America
Saint Vincent and the Grenadines,VCT,2018,58,North America
Sao Tome and Principe,STP,2018,46,Africa
Saudi Arabia,SAU,2018,49,Asia
Senegal,SEN,2018,45,Africa
Serbia,SRB,2018,39,Europe
Seychelles,SYC,2018,66,Africa
Sierra Leone,SLE,2018,30,Africa
Singapore,SGP,2018,85,Asia
Slovakia,SVK,2018,50,Europe
Slovenia,SVN,2018,60,Europe
Solomon Islands,SLB,2018,44,Oceania
Somalia,SOM,2018,10,Africa
South Africa,ZAF,2018,43,Africa
South Korea,KOR,2018,57,Asia
South Sudan,SSD,2018,13,Africa
Spain,ESP,2018,58,Europe
Sri Lanka,LKA,2018,38,Asia
Sudan,SDN,2018,16,Africa
Suriname,SUR,2018,43,South America
Sweden,SWE,2018,85,Europe
Switzerland,CHE,2018,85,Europe
Syria,SYR,2018,13,Asia
Taiwan,TWN,2018,63,Asia
Tajikistan,TJK,2018,25,Asia
Tanzania,TZA,2018,36,Africa
Thailand,THA,2018,36,Asia
Timor,TLS,2018,35,
Togo,TGO,2018,30,Africa
Trinidad and Tobago,TTO,2018,41,North America
Tunisia,TUN,2018,43,Africa
Turkey,TUR,2018,41,Asia
Turkmenistan,TKM,2018,20,Asia
Uganda,UGA,2018,26,Africa
Ukraine,UKR,2018,32,Europe
United Arab Emirates,ARE,2018,70,Asia
United Kingdom,GBR,2018,80,Europe
United States,USA,2018,71,North America
Uruguay,URY,2018,70,South America
Uzbekistan,UZB,2018,23,Asia
Vanuatu,VUT,2018,46,Oceania
Venezuela,VEN,2018,18,South America
Vietnam,VNM,2018,33,Asia
Yemen,YEM,2018,14,Asia
Zambia,ZMB,2018,35,Africa
Zimbabwe,ZWE,2018,22,Africa
